"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,"Link clicks","Sticker taps"
18096138343593445,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"06/07/2025 10:46",https://instagram.com/stories/atu_business/3649869806773277041,"IG story",,Lifetime,136,130,1,0,,0,,,
17858715750378113,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"06/07/2025 09:04",https://instagram.com/stories/atu_business/3649818244014526926,"IG story",,Lifetime,138,132,1,0,,0,137,,
18086613793662344,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"06/07/2025 09:03",https://instagram.com/stories/atu_business/3649817959791781714,"IG story",,Lifetime,145,137,2,0,,0,140,,
18174780376332091,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"06/07/2025 07:06",https://instagram.com/stories/atu_business/3649759027564788791,"IG story",,Lifetime,,137,3,0,,0,,,
18393248437118636,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"06/06/2025 17:21",https://instagram.com/stories/atu_business/3649343914848362894,"IG story",,Lifetime,151,134,3,0,1,0,146,,4
18510352180040176,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"06/06/2025 17:16",https://instagram.com/stories/atu_business/3649341018530590526,"IG story",,Lifetime,,137,3,,,,155,,
17993733881798826,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"06/06/2025 16:26",https://instagram.com/stories/atu_business/3649316107225193432,"IG story",,Lifetime,156,138,3,,,,169,,
18058564502236063,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"06/06/2025 16:01",https://instagram.com/stories/atu_business/3649303540620609991,"IG story",,Lifetime,,150,2,0,,0,164,,
18069652123952040,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"06/06/2025 16:00",https://instagram.com/stories/atu_business/3649302990369879559,"IG story",,Lifetime,174,155,2,0,1,0,168,,
17852651082461174,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"06/06/2025 15:10",https://instagram.com/stories/atu_business/3649277787929801362,"IG story",,Lifetime,181,165,2,0,,0,196,,
18513964342050716,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Last day 🥺
#SOLA2025",0,"06/06/2025 07:13",https://instagram.com/stories/atu_business/3649037773874513125,"IG story",,Lifetime,1042,855,6,0,,0,211,,
18086467258656356,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"06/06/2025 04:23",https://instagram.com/stories/atu_business/3648951997337782519,"IG story",,Lifetime,207,188,3,0,,0,196,,
17852354970462867,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"06/05/2025 19:18",https://instagram.com/stories/atu_business/3648677902486162440,"IG story",,Lifetime,191,176,2,0,,0,180,,
18140388169401791,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"06/05/2025 19:18",https://instagram.com/stories/atu_business/3648677730922400982,"IG story",,Lifetime,196,180,3,0,,0,185,,7
18101723113545373,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"06/05/2025 16:37",https://instagram.com/stories/atu_business/3648596780641604905,"IG story",,Lifetime,,186,3,0,,0,,,
18005650157780160,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"06/05/2025 16:35",https://instagram.com/stories/atu_business/3648595655485912006,"IG story",,Lifetime,204,189,5,0,,0,194,,
17906916921170743,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","FYI Chipotle is OPEN 🙌🏼",15,"06/05/2025 14:04",,"IG story",,Lifetime,155,149,3,1,,0,193,,
18034315271648946,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,25,"06/05/2025 10:32",https://instagram.com/stories/atu_business/3648412898453377233,"IG story",,Lifetime,188,172,1,0,,0,180,,2
17917313669999300,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Level up with us 😎",0,"06/05/2025 10:31",,"IG story",,Lifetime,342,295,2,0,,0,178,,9
17852564808460144,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"06/05/2025 08:41",https://instagram.com/stories/atu_business/3648357307995425907,"IG story",,Lifetime,188,174,2,0,,0,188,,
18038306759322199,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,11,"06/05/2025 08:41",https://instagram.com/stories/atu_business/3648357096091010074,"IG story",,Lifetime,190,177,3,0,,0,173,,2
18147190012377320,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"06/05/2025 05:17",https://instagram.com/stories/atu_business/3648254632826138481,"IG story",,Lifetime,196,182,1,0,,0,179,,
18181240570319726,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,20,"06/04/2025 20:57",https://instagram.com/stories/atu_business/3648002721925113432,"IG story",,Lifetime,199,183,1,0,,,187,,
18048213281156176,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"06/04/2025 20:57",https://instagram.com/stories/atu_business/3648002635304435543,"IG story",,Lifetime,208,188,2,0,,0,176,,2
18064272881111673,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"06/04/2025 18:50",https://instagram.com/stories/atu_business/3647938753458430247,"IG story",,Lifetime,217,200,3,0,,0,,,
18069645829812571,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"06/04/2025 10:50",https://instagram.com/stories/atu_business/3647697177746425023,"IG story",,Lifetime,210,199,1,2,1,0,199,,2
18032477255392250,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"06/04/2025 10:50",https://instagram.com/stories/atu_business/3647697120041134962,"IG story",,Lifetime,214,202,1,0,,0,,,
18505041979058164,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"06/04/2025 10:05",https://instagram.com/stories/atu_business/3647674936988075323,"IG story",,Lifetime,,206,2,0,1,0,218,,
18057140564215933,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,5,"06/04/2025 09:19",,"IG story",,Lifetime,188,180,0,,,,,,
18031375118422183,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"06/04/2025 07:47",https://instagram.com/stories/atu_business/3647605316952295132,"IG story",,Lifetime,243,227,2,0,,0,235,,
18032220647404599,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"06/04/2025 07:46",https://instagram.com/stories/atu_business/3647604929247746381,"IG story",,Lifetime,258,235,1,0,,0,236,,
18415941490101752,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"06/03/2025 18:58",https://instagram.com/stories/atu_business/3647218279741025309,"IG story",,Lifetime,317,287,2,0,1,0,306,,23
18061281845152364,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Ready for
#SOLA2025",0,"06/03/2025 08:26",https://instagram.com/stories/atu_business/3646899982944198669,"IG story",,Lifetime,322,288,3,0,,0,312,,15
17880679377327388,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Come to Level Up!",5,"06/02/2025 15:56",,"IG story",,Lifetime,164,159,1,0,,0,180,1,
18062418155134297,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"06/01/2025 08:31",,"IG story",,Lifetime,229,220,6,0,2,0,294,,
18071949938503348,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/31/2025 19:32",https://instagram.com/stories/atu_business/3645061018574733626,"IG story",,Lifetime,236,223,5,0,,0,243,,
17847639357482816,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/31/2025 10:46",,"IG story",,Lifetime,180,171,3,0,,0,222,,
17929393665053212,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"05/31/2025 10:15",,"IG story",,Lifetime,181,172,3,0,3,0,231,,
18061551103901032,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/29/2025 09:45",,"IG story",,Lifetime,201,194,1,0,1,0,208,,
17909411604148445,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/28/2025 14:07",https://instagram.com/stories/atu_business/3642723053638364651,"IG story",,Lifetime,454,428,7,0,3,0,465,,
18160399738359520,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/26/2025 06:41",,"IG story",,Lifetime,196,190,2,0,1,0,203,,
18010913744733150,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,5,"05/23/2025 16:07",,"IG story",,Lifetime,188,177,1,0,,0,176,,
18503257735038424,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/23/2025 05:29",,"IG story",,Lifetime,296,285,5,0,3,0,324,,17
17862461592405054,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Sneak peek at our day 👀",0,"05/20/2025 17:31",,"IG story",,Lifetime,307,301,4,1,,0,332,,24
18051199979369735,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/19/2025 10:41",,"IG story",,Lifetime,234,227,1,0,3,0,242,,
18087932833619336,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,5,"05/16/2025 20:26",,"IG story",,Lifetime,262,259,3,0,,0,250,,
18080730400684184,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Congrats
Dr. Hopson!!!",27,"05/16/2025 17:52",https://instagram.com/stories/atu_business/3634138984118331855,"IG story",,Lifetime,349,309,12,0,2,0,319,,
18350058970155464,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Some @dutchbroscoffee to finish off our season!!! What a fun week!",6,"05/15/2025 14:22",https://instagram.com/stories/atu_business/3633308594705689225,"IG story",,Lifetime,191,185,0,0,2,0,211,,
18077034445681375,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,5,"05/15/2025 12:39",,"IG story",,Lifetime,204,190,1,0,,0,211,,
18356616571145558,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Last day!! Final round!!!",5,"05/15/2025 07:32",https://instagram.com/stories/atu_business/3633102422716911210,"IG story",,Lifetime,225,206,0,0,,0,224,8,
18504354505061827,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","@mekkybliss_ first time to Las Vegas!!",14,"05/14/2025 20:18",https://instagram.com/stories/atu_business/3632762946616404860,"IG story",,Lifetime,424,381,2,0,,0,278,,9
18351954790157092,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/14/2025 16:56",https://instagram.com/stories/atu_business/3632661261722479883,"IG story",,Lifetime,779,696,1,0,,0,344,,
18089187148625661,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Today at the NCAA DII Golf Championships is Folds of Honor day. Each player tees off in tribute to a fallen service member.🇺🇸 It’s going to be a great day!",0,"05/14/2025 07:37",https://instagram.com/stories/atu_business/3632379992232911322,"IG story",,Lifetime,929,820,3,0,1,0,388,24,
18040698992257249,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","DAY ONE!!",0,"05/13/2025 10:19",https://instagram.com/stories/atu_business/3631736848629217974,"IG story",,Lifetime,697,609,2,0,1,0,363,23,
18354907468195132,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Round 1 is tomorrow! That’s a wrap on Day ✌🏼",15,"05/12/2025 19:45",https://instagram.com/stories/atu_business/3631296821644980633,"IG story",,Lifetime,677,591,4,0,1,0,311,,
18505007401001457,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/12/2025 14:58",https://instagram.com/stories/atu_business/3631152247100901146,"IG story",,Lifetime,333,309,1,0,,0,255,,
17977109144839466,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Special Olympics Putting Competition  Go Kari!!",8,"05/12/2025 14:57",https://instagram.com/stories/atu_business/3631151989100784060,"IG story",,Lifetime,700,597,2,0,,0,216,,
18066541249825806,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,9,"05/12/2025 12:07",https://instagram.com/stories/atu_business/3631068318909708114,"IG story",,Lifetime,572,507,1,0,,0,220,,
18094500127602959,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","@atu.womensgolf @ellenspigner13",5,"05/12/2025 12:06",https://instagram.com/stories/atu_business/3631065963069954433,"IG story",,Lifetime,365,340,0,0,,0,237,,10
18032947940344384,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",@averimickelson,5,"05/12/2025 12:06",https://instagram.com/stories/atu_business/3631065676162623626,"IG story",,Lifetime,341,302,0,0,,0,263,,10
17908195962134373,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",@jayleecastrogolf,5,"05/12/2025 12:06",https://instagram.com/stories/atu_business/3631065512886745762,"IG story",,Lifetime,349,313,1,0,,0,265,,12
18058902479139742,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",@mekkybliss_,0,"05/12/2025 11:43",https://instagram.com/stories/atu_business/3631054179332044450,"IG story",,Lifetime,848,703,0,0,,0,239,,6
18146239264380120,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Practice round!",0,"05/12/2025 08:58",https://instagram.com/stories/atu_business/3630970931555854743,"IG story",,Lifetime,621,550,1,0,2,0,247,,4
17935689018037929,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","That’s all for today! 
See you bright and early for our practice round!👋🏼💤",5,"05/11/2025 20:03",https://instagram.com/stories/atu_business/3630581261839694595,"IG story",,Lifetime,614,540,0,0,,0,231,,
18022724861700542,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Thank you!!!! @ncaadii",23,"05/11/2025 20:01",https://instagram.com/stories/atu_business/3630580094573286450,"IG story",,Lifetime,632,551,0,0,1,0,233,,5
17966284085873582,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,55,"05/11/2025 20:00",https://instagram.com/stories/atu_business/3630579550043752530,"IG story",,Lifetime,643,556,2,0,1,0,226,,
18127349773433031,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Tee gifts… haul incoming🔥🔥🔥",0,"05/11/2025 19:59",https://instagram.com/stories/atu_business/3630579115555749068,"IG story",,Lifetime,661,573,2,0,,0,262,,
18039252437274585,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,6,"05/11/2025 14:37",https://instagram.com/stories/atu_business/3630417237527991750,"IG story",,Lifetime,601,531,2,0,,0,242,,
18064193474484014,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Landed ✅
Lunch✅
Time to get some practice in…",9,"05/11/2025 14:37",https://instagram.com/stories/atu_business/3630416976356885141,"IG story",,Lifetime,621,552,1,0,6,0,240,,
18040065305560933,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","see you in 3 hours Vegas!",0,"05/11/2025 08:52",https://instagram.com/stories/atu_business/3630243177995663657,"IG story",,Lifetime,638,569,1,0,,0,293,,
18071902912928882,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Made it to the airport! ✈️",0,"05/11/2025 07:16",https://instagram.com/stories/atu_business/3630195152283683481,"IG story",,Lifetime,660,593,1,0,1,0,323,,
17848396299433576,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Hey it’s @kylierehberger !!! We are headed to nationals for @ncaadii so follow along for the week!!",12,"05/11/2025 05:36",https://instagram.com/stories/atu_business/3630144863719401420,"IG story",,Lifetime,723,628,4,0,,0,319,,15
17946237836986966,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","commencement selfie <3 @arkansastech  @mekkybliss_",0,"05/10/2025 14:11",,"IG story",,Lifetime,1427,1262,2,0,2,0,310,,20
18115926058461900,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/10/2025 10:54",https://instagram.com/stories/atu_business/3629579870922946767,"IG story",,Lifetime,289,276,3,1,1,0,318,,76
17887873278148132,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,5,"05/10/2025 07:20",,"IG story",,Lifetime,229,212,0,0,,0,248,,
18023034968694707,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,5,"05/09/2025 22:52",,"IG story",,Lifetime,238,221,1,0,1,0,240,,
18060598688169714,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,4,"05/09/2025 16:21",,"IG story",,Lifetime,266,254,1,0,,0,224,,8
17933387535042874,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Live from the grad reception, it’s @its_yoshi01’s cord tour!",11,"05/09/2025 15:52",https://instagram.com/stories/atu_business/3629005313199621483,"IG story",,Lifetime,1614,1357,4,0,1,0,252,,13
17931430851029878,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/09/2025 15:05",,"IG story",,Lifetime,412,367,1,0,1,0,324,,
18030759008647302,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Applications close TODAY!",6,"05/09/2025 12:37",,"IG story",,Lifetime,277,261,2,0,,0,269,6,
18062562355892948,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/09/2025 11:42",,"IG story",,Lifetime,286,277,5,0,3,0,307,,
18057187736269900,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/08/2025 14:50",,"IG story",,Lifetime,341,320,3,0,3,0,356,,11
18065698457068254,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,60,"05/08/2025 05:07",,"IG story",,Lifetime,227,209,1,0,2,0,243,,
17854652829431739,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/07/2025 13:12",,"IG story",,Lifetime,188,178,1,0,1,0,200,,
17991900170646668,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Getting ready to celebrate our students’ achievements!",6,"05/07/2025 10:52",,"IG story",,Lifetime,1223,1001,5,0,,0,182,,
17877331731323198,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/07/2025 08:39",,"IG story",,Lifetime,189,177,1,0,,0,214,,9
17928963000028982,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,5,"05/07/2025 06:46",,"IG story",,Lifetime,195,183,2,0,2,0,218,,
17970563096740458,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/06/2025 09:52",,"IG story",,Lifetime,687,506,0,0,1,0,281,,
18098686189537185,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Kitler  Jarvis Marcus",5,"05/05/2025 14:08",,"IG story",,Lifetime,220,200,4,9,1,0,253,,
18502608784003946,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,15,"05/05/2025 10:13",,"IG story",,Lifetime,199,175,3,0,1,0,232,,
17867984523366731,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/05/2025 09:24",,"IG story",,Lifetime,206,187,1,0,,0,239,,
17866402599371521,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,23,"05/04/2025 16:15",,"IG story",,Lifetime,253,232,6,0,1,0,265,,
18062966638869862,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business",,0,"05/02/2025 15:23",,"IG story",,Lifetime,282,271,1,0,,0,286,,
18049501928368567,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Limited spring buttons in RTH and Williamson lobbies 👀",5,"05/01/2025 11:32",,"IG story",,Lifetime,203,198,2,3,1,0,221,,
18008047886746218,17841402627774708,atu_business,"ATU LeMoyne Smith School of Business","Need a Mother’s Day card? Make your own at our station in RTH lobby! Open to all <3",5,"05/01/2025 11:30",,"IG story",,Lifetime,486,418,2,0,,0,201,,
